Brand,grade,reviews,fragrance family,fragrance name,fragrance classification,volume,top notes,heart notes,base notes,gender,product form,year of launch,strength,sustainable,country of origin,ingredients
Victoria's Secret,4.6,12,Floral,Victoria's Secret Velvet Petals,Victoria's Secret,Available in 240 ml and 248 ml,,,,Women,,2019,,,,
Victoria's Secret,3.8,6,Vanilla,Victoria's Secret Tease Heartbreaker,Victoria's Secret,"Available in 7 ml, 50 ml and 100 ml",,,,Women,,2019,,,,
Jacomo,2.8,4,Vetiver,Silences Eau De Parfum Sublime,Jacomo,Available in 100 ml,,,,Women,,2012,,,,
Calvin Klein,4.5,120,Citrus,Secret Obsession,Calvin Klein,"Available in 1 ml, 5 ml, 10 ml, 30 ml, 50 ml, 100 ml, 151 ml and 200 ml","Rose (Damascone), Mace, Plum","Jasmine (Egyptian), Orange blossom, Orchid (spicy floral accord), Tuberose, Ylang-ylang, Cedarwood (Moroccan)","Iris (Florentine), Sandalwood (Australian), Woods (Cashmere), Wormwood, Amber, Vanilla, Plum",Women,,2008,,,,
Ted Lapidus,4.2,16,Jasmine,Rumba Passion,Ted Lapidus,Available in 1 ml and 98 ml,"Bergamot, Davana, Rose","Jasmine, Orange blossom, Cistus resin (Spanish)","Patchouli (Indonesian), Vanilla, Honey",Women,,2012,,,,
Roberto Cavalli,4.4,11,Jasmine,Roberto Cavalli Paradiso Assoluto,Roberto Cavalli,Available in 50 ml and 75 ml,,,,Women,,2016,,,,
Maison Margiela,5.0,3,Patchouli,Replica Music Festival,Maison Margiela,Available in 100 ml,,,,Men and Women,,2017,,,,
Ralph Lauren,4.8,84,Citrus,Pure Turquoise,Ralph Lauren,"Available in 1 ml, 7 ml, 38 ml, 75 ml, 100 ml, 125 ml and 200 ml","Cactus flower, Lily of the Valley (Muguet), Violet, Blackcurrant buds (Cassis)","Desert lily, Orange blossom, Queen of the Night cactus flower, Rose (Bulgarian)","Patchouli, Silver birch wood, Amber, Musk, Vanilla, Rum",Women,,2005,,,,
Philipp Plein Parfums,4.7,7,,Philipp Plein No Limits,Philipp Plein Parfums,Available in 50 ml and 90 ml,,,,Men,,2020,,,,
Perry Ellis,4.2,28,,Perry Ellis (new),Perry Ellis,Available in 50 ml and 100 ml,"Mandarin, Apple (green), Plum","Gardenia, Jasmine, Lily of the Valley (Muguet)","Amber, Musk (Skin accord), Vanilla",Women,,2009,,,,
Atelier Cologne,,,,Pacific Lime,Atelier Cologne,Available in 100 ml,,,,Men and Women,,,,,,
Nasomatto,4.7,3,Rose,Nasomatto Baraonda,Nasomatto,Available in 30 ml,,,,Women,,,,,,
ESCENTRIC MOLECULES,3.8,9,Cedar,Molecule 02,ESCENTRIC MOLECULES,Available in 8 ml and 104 ml,,,,Women,,2008,,,,
Nina Ricci,4.5,6,Jasmine,Luna Nina Ricci,Nina Ricci,"Available in 8 ml, 30 ml, 50 ml and 80 ml",,,,Women,,2016,,,,
L'occitane,5.0,1,Bergamot,L'occitane Verbena (verveine),L'occitane,Available in 100 ml,,,,Women,,2014,,,,
Giorgio Armani,3.0,2,Bergamot,Light Di Gioia,Giorgio Armani,Available in 50 ml and 100 ml,,,,Women,,2019,,,,
Lattafa,,,,Lataffa Raghba Man,Lattafa,Available in 100 ml,,,,Men,,,,,,
Lacoste,4.4,28,Citrus,Lacoste Elegance,Lacoste,"Available in 2 ml, 30 ml, 50 ml, 75 ml, 90 ml, 100 ml and 150 ml","Mandarin, Pennyroyal, Violet leaves, Thyme, Juniperberry","Cardamom, Nutmeg, Pepper (black), Raspberry","Cedarwood, Sandalwood, Ambery notes, Musk-like notes, Chocolate (dark)",Men,,2007,,,,
Jo Malone,4.5,2,Floral,Jo Malone Red Roses,Jo Malone,"Available in 8 ml, 9 ml, 30 ml and 100 ml",,,,Men and Women,,2001,,,,
Jo Malone,4.3,13,,Jo Malone Pomegranate Noir,Jo Malone,"Available in 9 ml, 30 ml and 100 ml",,,,Men and Women,,2005,,,,
Reyane Tradition,3.4,5,,Insurrection Ii Dark,Reyane Tradition,Available in 90 ml,,,,Men,,,,,,
Jesus Del Pozo,4.2,13,Citrus,Halloween Kiss,Jesus Del Pozo,"Available in 4 ml, 30 ml, 50 ml and 100 ml","Bergamot, Mandarin, Orange (blood), Fruits (red), Pear, Pineapple","Freesia, Gardenia, Orchid, Peony, Rose, White flower accord, Lychee, Peach","Patchouli (white), Teak, Tonka bean, Maltol, Milk (warm accord), Vanilla mousse",Women,,2008,,,,
Gucci,,,,Gucci Guilty Love Edition Mmxxi,Gucci,Available in 90 ml,,,,Women,,,,,,
Gucci,3.5,2,Jasmine,Gucci Bloom Profumo Di Fiori,Gucci,Available in 100 ml,,,,Women,,2020,,,,
Viktor & Rolf,4.6,8,Jasmine,Flowerbomb Nectar,Viktor & Rolf,Available in 8 ml and 90 ml,,,,Women,,2018,,,,
Yardley London,4.4,11,Bergamot,English Freesia,Yardley London,"Available in 50 ml, 77 ml, 100 ml, 125 ml and 200 ml",,,,Women,,2017,,,,
Disney,3.0,3,fresh,Disney Princess Jasmine,Disney,Available in 100 ml,,,,Women,,,,,,
Chloe,4.9,8,Rose,Chloe Fleur De Parfum,Chloe,Available in 50 ml and 75 ml,,,,Women,,2016,,,,
Moschino,4.5,4,,Cheap & Chic So Real,Moschino,"Available in 30 ml, 50 ml and 100 ml",,,,Women,,2017,,,,
Bond No. 9,3.4,5,Earthy Greens,Bryant Park,Bond No. 9,"Available in 1 ml, 50 ml and 100 ml","Lily of the Valley (Muguet), Pepper (rose / pink), Rhubarb","Rose, Patchouli","Amber, Raspberry",Women,,2007,,,,
Hugo Boss,3.7,3,Bergamot,Boss Bottled Absolute,Hugo Boss,Available in 200 ml,,,,Men,,2019,,,,
Bond No. 9,,,,Bond No. 9 Tribeca,Bond No. 9,Available in 100 ml,,,,Men and Women,,,,,,
Karl Lagerfeld,4.0,7,Patchouli,Bois De Yuzu,Karl Lagerfeld,Available in 50 ml and 100 ml,,,,Men,,2018,,,,
Yves Saint Laurent,,,,Black Opium Illicit Green,Yves Saint Laurent,Available in 30 ml,,,,Women,,,,,,
Giorgio Armani,4.4,7,Bergamot,Armani Eau De Nuit,Giorgio Armani,"Available in 15 ml, 50 ml and 100 ml",,,,Men,,2013,,,,
Xerjoff,4.7,10,Rose,Alexandria Ii,Xerjoff,"Available in 30 ml, 50 ml and 100 ml",,,,Women,,2012,,,,
4711,4.1,7,Citrus,4711 Acqua Colonia White Peach & Coriander,4711,"Available in 50 ml, 75 ml, 169 ml and 200 ml",,,,Women,,2017,,,,
Fred Hayman,4.8,13,Bergamot,273,Fred Hayman,"Available in 4 ml, 30 ml, 50 ml, 75 ml and 90 ml","Bergamot, Lavender","Amber, Oakmoss ","Cedar, Musk",Men,,1989,,,,
Bond No. 9,4.9,16,,The Scent Of Peace,Bond No. 9,"Available in 8 ml, 50 ml and 100 ml",,,,Women,,,,,,
Nickelodeon,5.0,1,fresh,Spongebob Squarepants,Nickelodeon,Available in 100 ml,,,,Women,,,,,,
Justin Bieber,4.3,36,,Someday,Justin Bieber,"Available in 1 ml, 7 ml, 15 ml, 30 ml, 50 ml, 100 ml, 150 ml and 200 ml","Mandarin, Berries (wild), Pear (King William)","Jasmine (Sambac), Orchid (Coconut), Waterlily","Sandalwood, Musk, Vanilla, Marshmallow",Women,,2011,,,,
Parfums De Coeur,4.8,5,Vanilla,Sexiest Fantasies Crazy For You,Parfums De Coeur,Available in 217 ml and 240 ml,,,,Women,,,,,,
Salvatore Ferragamo,4.6,9,fresh,Salvatore Ferragamo Uomo Casual Life,Salvatore Ferragamo,Available in 8 ml and 100 ml,,,,Men,,2017,,,,
Royall Fragrances,4.0,8,Patchouli,Royall Rugby,Royall Fragrances,"Available in 7 ml, 120 ml and 240 ml",,,,Men,,2011,,,,
Erox,4.9,7,Bergamot,Realm Intense,Erox,"Available in 30 ml, 50 ml and 100 ml",,,,Men,,2015,,,,
Prada,4.8,12,Rose,Prada La Femme Intense,Prada,Available in 50 ml and 100 ml,,,,Women,,2016,,,,
Prada,4.0,3,Rose,Prada Infusion De Rose,Prada,Available in 100 ml and 200 ml,,,,Women,,2017,,,,
Perry Ellis,4.5,26,,Perry Ellis Aqua,Perry Ellis,"Available in 7 ml, 81 ml, 90 ml, 100 ml and 200 ml",,,,Men,,,,,,
Perry Ellis,5.0,5,Patchouli,Perry Ellis 360 Collection,Perry Ellis,Available in 100 ml,,,,Women,,,,,,
Van Cleef & Arpels,4.9,11,Patchouli,Moonlight Patchouli,Van Cleef & Arpels,Available in 75 ml,,,,Men and Women,,2016,,,,
Yves Saint Laurent,4.7,14,,Mon Paris Couture,Yves Saint Laurent,"Available in 8 ml, 30 ml, 50 ml and 90 ml",,,,Women,,2018,,,,
Maison Francis Kurkdjian,,,Rose,L'homme A La Rose,Maison Francis Kurkdjian,Available in 71 ml,,,,Men,,2020,,,,
Lapidus,4.3,7,Bergamot,Lapidus Pour Homme Sport,Lapidus,Available in 98 ml,,,,Men,,2015,,,,
Lanvin,4.2,9,Rose,Lanvin Me,Lanvin,"Available in 30 ml, 50 ml, 77 ml and 150 ml",,,,Women,,2013,,,,
La Perla,4.8,21,,La Perla J'aime La Nuit,La Perla,"Available in 1 ml, 8 ml, 30 ml and 100 ml",,,,Women,,,,,,
Kenzo,4.5,17,Jasmine,Kenzo World,Kenzo,"Available in 1 ml, 50 ml and 75 ml",,,,Women,,2016,,,,
Juliette Has A Gun,3.5,4,Floral,Juliette Has A Gun Mmmm,Juliette Has A Gun,Available in 50 ml and 100 ml,,,,Women,,2016,,,,
Jo Malone,4.5,2,fresh,Jo Malone Honeysuckle & Davana,Jo Malone,Available in 30 ml and 100 ml,,,,Women,,2018,,,,
Kkw Fragrance,5.0,2,,Jeff Leatham Caramel Orchid,Kkw Fragrance,Available in 30 ml,,,,Men and Women,,,,,,
Nino Cerruti,4.6,17,Citrus,Image,Nino Cerruti,"Available in 4 ml, 7 ml, 30 ml, 50 ml, 75 ml, 100 ml, 150 ml, 200 ml and 414 ml","Grapefruit, Pepper (black), Pimento (Allspice), Leaves (green)","Gentian, Watermint, Cool carbon accord","Birch, Leather, Woods (blonde), Amber",Women,,2000,,,,
Elizabeth Arden,4.1,9,Bergamot,Green Tea Cucumber,Elizabeth Arden,Available in 100 ml,,,,Women,,2015,,,,
Ghost,4.0,4,,Ghost The Fragrance,Ghost,Available in 30 ml and 100 ml,,,,Women,,,,,,
Escada,4.8,18,,Escada Joyful,Escada,"Available in 30 ml, 50 ml and 75 ml",,,,Women,,2014,,,,
Hermes,4.9,7,,Eau De Rhubarbe Ecarlate,Hermes,"Available in 50 ml, 100 ml and 200 ml",,,,Men,,2016,,,,
Dsquared2,,,Lemon,Dsquared2 Wood Green,Dsquared2,Available in 50 ml and 100 ml,,,,Men,,2019,,,,
Demeter,3.3,8,Patchouli,Demeter Thunderstorm,Demeter,Available in 120 ml,,,,Women,,2002,,,,
Demeter,4.1,8,Vanilla,Demeter Hawaiian Vanilla,Demeter,"Available in 8 ml, 30 ml and 120 ml",,,,Women,,,,,,
Demeter,3.8,5,Vanilla,Demeter Cinnamon Bun,Demeter,Available in 120 ml,,,,Women,,,,,,
Fragluxe,5.0,4,Floral,Cuba Jungle Snake,Fragluxe,"Available in 8 ml, 34 ml, 100 ml and 200 ml",,,,Women,,,,,,
Christina Aguilera,5.0,1,,Christina Aguilera Red Sin,Christina Aguilera,Available in 50 ml,,,,Women,,2012,,,,
Nu Parfums,2.0,1,Bergamot,Black Is Black,Nu Parfums,Available in 8 ml and 100 ml,,,,Women,,2007,,,,
Loewe,5.0,1,Rose,Aura Loewe,Loewe,Available in 80 ml,,,,Women,,2013,,,,
Armand Basi,4.7,58,Bergamot,Armand Basi In Red,Armand Basi,"Available in 7 ml, 50 ml and 100 ml","Bergamot, Mandarin, Cardamom, Ginger","Jasmine, Lily of the Valley (Muguet), Rose, Violet leaves","Cedarwood, Sandalwood, Oakmoss, Musk",Women,,2002,,,,
Adidas,5.0,1,fresh,Adidas Get Ready,Adidas,Available in 100 ml,,,,Men,,2014,,,,
Jean Patou,4.6,72,Citrus,1000,Jean Patou,"Available in 2 ml, 3 ml, 5 ml, 7 ml, 8 ml, 10 ml, 15 ml, 24 ml, 30 ml, 44 ml, 50 ml, 75 ml, 90 ml and 200 ml","Osmanthus, Rose (Bulgarian), Violet leaves","Jasmine, Rose (May Rose or Rose de Mai)","Patchouli, Sandalwood, Oakmoss",Women,,1972,,,,
Ungaro,4.5,151,Citrus,Ungaro Iii,Ungaro,"Available in 8 ml, 30 ml, 50 ml, 75 ml, 100 ml and 200 ml","Bergamot, Lemon, Petitgrain, Lavender, Green notes","Geranium, Jasmine, Rose, Clove, Clary sage, Pepper","Sandalwood, Vetiver, Oakmoss, Amber, Musk, Tonka bean",Men,,1993,,,,
